,x,y,z,cluster
0,-1.3538265,-0.66064984,-9.181149,0
0,-10.879278,-3.8769178,-0.9218318,0
0,5.187064,-9.8721075,1.960734,0
0,9.014621,3.5388398,4.5005064,0
0,-7.659565,-8.043946,-1.0623459,0
0,6.6810346,-8.954993,2.4185522,0
0,3.2443554,3.6064107,-7.1689835,0
0,10.65595,-2.7750902,4.5947037,0
0,-3.3754835,-10.296448,-0.0076296055,0
0,-7.318695,-8.278373,-0.97857386,0
0,7.357572,6.1360097,1.4103663,0
0,-5.913597,-1.5910558,-8.433952,0
0,-0.7610566,8.021566,5.9935756,0
0,10.5519,-1.3505193,5.0514307,0
0,6.549104,6.665953,-0.6509447,0
0,0.34046435,-11.053256,0.7637347,0
0,9.249165,3.0787668,4.748716,0
0,-10.954774,-2.9253566,-0.4811105,0
0,10.448151,-2.8563752,4.762346,0
0,3.9508493,4.7093315,-6.244392,0
0,10.296173,0.32688674,5.219179,0
0,-9.851658,0.09657199,1.3242004,0
0,-9.76903,0.22514084,1.5124772,0
0,-0.5045675,-11.02037,0.5869911,0
0,0.9022305,-11.037848,0.8839615,0
0,5.558822,6.467775,-3.0632222,0
0,7.9487796,-7.8635287,2.886077,0
0,8.337417,4.7841763,3.5347068,0
0,-5.0055056,-1.471887,-8.727236,0
0,-3.1370897,-10.377096,0.04237222,0
0,3.4783177,-10.595176,1.4878229,0
0,8.130727,5.1649137,3.1841288,0
0,-3.8585093,-10.131117,-0.14689451,0
0,7.067666,-8.665596,2.5497663,0
0,-10.790416,-4.4037347,-1.140588,0
0,-7.97383,0.8027295,2.6407669,0
0,1.3533959,-11.005553,0.9817613,0
0,-8.84919,-7.0832696,-1.3096292,0
0,-8.106775,-7.7139716,-1.1686071,0
0,-3.9383748,-1.3316691,-8.922814,0
0,-2.0428889,9.887483,4.9459968,0
0,4.827362,5.8613577,-4.6602974,0
0,-2.4601161,10.396835,4.076669,0
0,7.5449142,5.9446144,1.8763566,0
0,-4.8228006,-9.730512,-0.555668,0
0,-4.3100934,-9.965809,-0.07113501,0
0,8.772023,3.976104,4.214763,0
0,-4.9727993,1.3133318,3.989399,0
0,-6.6084356,-1.5863677,-8.445359,0
0,-9.648836,-6.2089195,-1.3763447,0
0,5.882392,6.628623,-2.3000777,0
0,-1.5617086,3.642924,5.489237,0
0,-1.495531,-10.927335,0.38099623,0
0,10.483494,-2.7504437,4.763881,0
0,-3.5562315,-1.263687,-8.983623,0
0,-4.960952,-9.671374,-0.28354332,0
0,-8.202042,0.74674976,2.517752,0
0,-8.787979,-7.1403923,-1.3001835,0
0,10.508449,-0.88357854,5.1085033,0
0,-10.226947,-0.27021924,1.1581472,0
0,-9.2801,0.38078848,1.935718,0
0,9.862518,1.6391635,5.112262,0
0,1.1847914,-11.01844,0.94591165,0
0,3.0767536,-10.723094,1.3835163,0
0,-0.74100304,6.136445,5.9725904,0
0,10.348792,-3.4986742,4.538569,0
0,-0.5432981,-11.034115,0.577248,0
0,-1.2430099,4.285174,5.6585116,0
0,-10.075707,-0.09990368,1.4844571,0
0,1.2011008,0.89969033,-8.706881,0
0,-3.7793095,-1.3079076,-8.949327,0
0,-9.457817,0.397728,1.7048079,0
0,-0.68424547,-0.37143925,-9.145884,0
0,3.692074,4.3102403,-6.6085234,0
0,3.9559577,4.7157745,-6.225081,0
0,-1.1866101,4.4316826,5.6920943,0
0,1.8813397,-10.942923,1.1000572,0
0,-3.702841,-10.1783495,-0.10044318,0
0,-3.496006,1.8553882,4.613317,0
0,-2.207729,11.103112,2.6370244,0
0,5.9057894,-9.47526,2.173114,0
0,-5.536051,1.1869415,3.7634537,0
0,-7.6720943,-8.033653,-1.0651888,0
0,-6.7255187,1.0073017,3.2475786,0
0,0.8570047,-11.040866,0.873568,0
0,10.554986,-1.3282971,5.043556,0
0,4.3492665,5.292657,-5.5714846,0
0,10.235569,-3.9799023,4.3480535,0
1,-9.911485,-0.064372316,1.6614699,0
1,-1.0614288,11.548998,1.7305139,0
0,6.3039403,-9.22963,2.2948642,0
0,4.5831394,5.5576563,-5.1402392,0
0,2.5064363,2.4680896,-7.894359,0
0,6.999539,-8.7192335,2.5247176,0
0,7.5575914,5.9266577,1.9090323,0
0,10.586725,-2.029122,4.9079456,0
0,-0.7336736,7.8640637,6.003959,0
0,-6.600962,-8.7342415,-0.78685284,0
