,x,y,z
0,15.214844,14.925345,-11.310645
0,-21.302557,-3.7012243,88.685074
0,-6.4667563,58.359344,44.93749
0,-24.54662,-19.706078,17.067982
0,-9.29232,54.32266,11.957632
0,14.284696,42.402027,49.867985
0,-0.72001475,-42.45009,14.469797
0,8.08836,-48.141766,-15.415373
0,30.725916,-57.603516,11.72646
0,-27.233564,49.91452,11.737139
0,20.991096,-20.480135,-23.296886
0,-7.4922457,-41.723522,43.536636
0,4.905125,-20.166014,7.1471
0,-71.97928,192.83154,-164.49489
0,158.88991,-375.41296,119.78767
0,-22.663836,-25.076654,-29.267002
0,-41.981884,-22.651632,9.408558
0,-48.34879,5.3074613,-22.582285
0,87.94683,-53.41559,19.805843
0,-29.66795,-48.736034,7.4986515
0,33.352196,8.123332,-41.34585
0,1.6332934,14.104433,-40.81897
0,-0.8205306,9.370184,-34.673744
0,5.17947,4.222471,29.926266
0,-11.860814,-13.579896,-38.113773
0,15.18341,2.154847,15.262614
0,24.32819,-33.102005,56.047333
0,-30.732063,24.898605,-47.245205
0,-7.559291,17.597496,41.224617
0,39.63094,19.273561,27.04829
0,-36.230602,-7.313702,19.756327
0,-21.44228,30.613815,-40.922215
0,-21.467232,73.06726,-23.321417
0,-80.67407,38.945,26.39048
0,-24.09658,2.1644366,2.3015795
0,59.98997,-4.781592,-34.349686
0,-8.638945,-26.333097,-31.543348
0,0.940322,36.24446,-2.3140342
0,-1.3339413,53.146732,11.241852
0,15.902461,23.596067,33.672325
0,14.074738,-31.116758,-2.0911617
0,-33.631447,-26.83249,0.2136367
0,1.4824531,59.819553,-6.1567035
0,23.91095,-12.662018,-30.962204
0,-34.1102,-14.480287,-43.93923
0,-65.47661,-7.9145317,-26.761425
0,-20.782125,-17.53904,10.220838
0,-23.297285,27.705065,5.5770273
0,-6.189325,-27.55488,40.60456
0,-2.5245693,23.357767,3.805271
0,27.826206,4.8210406,18.062649
0,-10.179259,-52.734993,-37.411915
0,27.77092,0.7780068,40.356926
0,-210.01173,101.85374,-142.60847
0,-51.628586,1.7963904,4.7889876
0,-54.167336,-11.220309,-35.480858
0,27.906042,19.033478,65.9036
0,6.8576946,39.22879,7.0953684
0,37.292336,-5.23001,-39.86988
0,-3.0616586,26.213451,-39.241
0,-2.0040512,7.589577,-16.348322
0,6.188246,74.78751,-17.871723
0,-5.9318075,-16.782524,-35.835415
0,-21.881636,-31.782333,-14.35127
0,14.927051,-7.9860744,-57.47514
0,39.266308,-32.628323,-2.5226817
0,11.021171,0.0099152895,31.830145
0,-2.5833786,-54.18925,-47.88215
0,-14.214834,7.9900403,-31.24522
0,47.37039,-4.58228,7.2878995
0,-58.58027,2.6457813,8.286533
0,-17.053282,24.889236,-20.13672
0,19.734138,27.287619,3.2405112
0,-19.223425,13.408458,64.119804
0,7.610245,-59.999157,20.153128
0,27.315083,-49.35388,40.30976
0,-3.5987906,-31.919422,-30.842112
0,10.551932,-79.98826,7.9717093
0,-20.821102,40.139545,27.389101
0,21.868334,36.564495,-26.471653
0,10.905806,51.943855,52.469116
0,-35.175167,19.869884,15.892053
0,-22.574533,50.11281,-17.719877
0,20.680841,55.70085,27.371176
0,-15.512612,-24.922897,-30.328175
0,94.02901,-16.9264,5.2254834
0,-23.323437,-39.68089,26.480375
0,32.524265,-38.76306,-5.3151984
1,13.750352,4.227949,-39.832497
1,41.067616,39.69943,-16.395697
0,126.18725,9.556979,48.095993
0,-49.010807,48.47138,13.76854
0,53.364254,-6.795208,-13.748261
0,47.114418,41.03073,18.290041
0,30.2682,-42.34022,80.84888
0,-24.839418,2.1310947,-62.22952
0,-1.5269425,-10.591427,5.898882
0,31.075949,42.2664,11.090272
0,25.518848,42.394886,-22.410448
0,-20.74503,31.702267,-1.920772
0,-47.35513,-21.562353,-9.178679
0,50.081696,14.617618,12.062592
0,22.73517,-45.25962,-40.010864
0,-18.045656,44.383648,20.952757
0,5.0298843,-53.999542,10.283108
0,-17.185863,-10.310486,47.370125
0,-24.386219,10.88649,26.900375
0,-15.992946,-41.56084,45.946224
0,34.933125,37.698513,30.189238
0,2.7178586,29.76985,-42.48803
0,-20.57532,47.70428,26.659243
0,37.21685,-19.747065,-21.930157
0,-13.506929,20.868221,41.253086
0,30.199139,-18.807966,59.0526
0,-28.037971,-43.549576,22.840286
0,-0.09606997,19.27532,40.875732
0,-38.393528,-4.740492,-7.551595
0,11.806289,13.33614,-5.0732093
0,-6.924848,23.368351,-43.3059
0,2.7562451,-30.026299,19.925358
0,-40.370995,-17.369888,28.164577
0,53.23148,-19.164558,-12.017673
0,-19.30876,11.450446,-20.799149
0,-15.187795,57.7698,-45.966274
0,52.53819,-17.954233,37.19913
0,-19.528202,-39.466835,13.473373
0,46.025936,4.906934,11.734029
0,30.035831,-14.345724,4.9426384
0,-22.003061,24.024906,55.852222
0,50.45475,-11.655889,-9.696548
0,6.783135,55.570446,11.136131
0,12.652087,-10.877739,19.616999
0,27.675224,18.400166,-9.745775
0,-28.069176,-26.739958,-5.087862
0,8.069404,-60.328037,-30.187275
0,42.53488,17.212334,-20.987118
0,2.603243,-114.12487,75.33127
0,-32.991173,3.8038712,54.317963
0,23.10903,-13.7115555,2.0990758
0,-31.893751,-61.000904,-14.125219
0,-6.6185255,-27.138025,48.354565
0,-41.965927,36.95902,-25.726795
0,29.891356,-39.167423,-31.937809
0,1.6767296,-16.26368,1.026075
0,-58.505924,25.520927,6.7029963
0,-45.244873,-14.926225,-38.626137
0,-30.776562,0.8875731,-2.6858032
0,-44.77794,-26.554955,-17.287102
0,19.277782,39.106277,-20.112839
0,21.662285,-36.435837,25.403522
0,-18.943565,-119.61649,36.987793
0,54.118557,35.631157,33.218674
0,-4.618814,37.271168,53.506424
0,6.8556156,-6.8160243,18.134491
0,-3.0174186,10.726603,62.233574
0,65.54389,18.931925,23.113995
0,23.588167,-1.626099,45.839733
0,44.13479,22.659979,-3.6520755
0,-8.962417,-8.753976,-33.725327
0,33.88268,-48.788815,40.34662
0,45.755997,52.741875,-3.752098
0,-3.4832578,9.688382,6.2083917
0,17.262314,21.731672,-31.135664
0,-22.72871,-9.578974,63.306118
0,-22.427757,53.332165,-1.9738984
0,20.879576,-27.196257,-48.54288
0,26.210915,-17.544115,-17.069748
0,-12.228836,-21.955683,-11.365347
0,-5.281949,14.969404,2.4229808
0,12.519852,66.53344,-46.7961
0,-23.74093,-43.625843,9.682541
0,-12.22309,-7.0242357,-11.380188
0,7.4215183,4.8253155,-34.880596
0,17.876799,12.481409,2.9242005
0,2.868091,9.342858,25.822529
0,45.125404,36.31398,-38.427822
0,19.640705,-138.87622,83.40198
0,6.237812,-20.896414,-15.465393
0,30.47547,26.655207,47.676216
0,18.724234,-4.068867,-26.137695
0,0.53502434,7.5912933,-43.703423
0,-11.708471,14.728252,-4.506155
0,23.993319,10.093945,19.439533
0,-1.05929,-20.607918,47.096077
0,4.1660013,44.664032,10.599644
0,3.704741,-26.46002,-49.99224
0,-37.995014,27.299543,-11.567308
0,-7.8623767,-10.532137,-3.0003865
0,5.821471,48.204456,-37.337223
0,-55.68896,9.581828,-6.518434
0,0.5982401,-4.6603703,19.24568
0,-12.901528,43.12686,30.731556
0,49.884483,14.044576,35.38041
0,-41.19962,-12.507733,23.648323
0,30.506325,39.96794,-14.928943
0,39.556633,11.892031,-44.344036
0,-21.098993,17.084394,25.86653
0,-20.457417,-52.99089,-33.81457
0,46.052013,-9.5314,-2.0487165
0,-31.996977,-5.821487,-86.92474
0,20.25045,-1.7910912,16.060719
0,7.626417,-53.247322,-19.960903
0,6.604513,37.63526,14.390585
0,-31.372192,-33.16967,-4.9061046
0,0.40110368,-52.134182,1.9150205
0,-37.471306,6.3526893,-28.431002
0,17.885519,37.942677,36.991547
0,-11.301106,10.631575,42.34418
0,4.1440625,36.643127,-62.334785
0,-0.4719897,3.3679569,56.475838
0,25.019428,-30.1549,28.925781
0,-42.66548,4.961961,-19.327913
0,17.094198,19.558086,3.1362581
0,-39.388496,12.207006,-30.905504
0,2.4956708,16.578838,21.088448
0,1.6556082,-34.378685,15.022275
0,-48.369377,5.3637047,10.055187
0,-4.440929,16.014666,-66.43623
0,29.540176,-23.87759,35.321335
0,36.779583,1.1283507,-33.06094
0,61.763893,-12.916143,134.63591
0,-5.873148,56.175575,-20.670101
0,-0.66897464,29.69013,0.49644637
0,97.76544,-11.8981285,186.93231
0,19.577639,-14.808979,-39.4781
0,61.970615,-19.393204,2.4144208
0,-17.304285,13.894537,19.173609
0,7.7215776,-29.479359,-11.694016
0,-40.129597,-12.831656,46.495182
0,-40.671917,27.637587,-5.244596
0,-12.661494,13.508866,-23.572805
0,22.62357,45.90201,11.602103
0,29.75895,-22.79878,26.410524
0,-5.5951858,-15.86105,4.668012
0,35.213337,18.922234,-3.601898
0,-40.689438,9.313821,37.609715
0,45.685375,-18.158403,-56.863056
0,-4.793794,-15.762691,65.21429
0,-30.006813,15.2914295,22.238983
0,-40.198555,8.624084,-38.281204
0,20.225126,6.6650534,1.2062188
0,-17.334694,-23.49896,6.003493
0,-3.121641,-28.389109,-48.718204
0,-1.4117604,-5.515217,-56.3658
0,-52.57511,5.513464,15.611227
0,-48.61384,-38.57519,-9.660227
0,-1.8259196,-41.708393,25.145906
0,-64.87078,-12.564418,25.026014
0,5.1306915,38.214638,54.082138
0,-20.33891,-8.878417,-19.188713
0,44.83157,-28.896406,15.9191
0,6.095426,-12.843414,-16.915049
0,-131.25113,15.744545,-32.783447
0,25.48618,103.786415,4.210504
0,-10.6024685,-41.98395,-21.744518
0,43.30787,10.843465,-37.35042
0,21.747364,-24.440123,2.8454423
0,-21.844759,-45.454052,17.422558
0,11.336222,6.6264596,35.54498
0,23.318043,-24.69096,24.591143
0,-18.09781,41.536392,-2.441003
0,-32.297623,22.95548,7.826592
0,22.13814,30.245092,-50.8473
0,64.42331,17.568905,-24.28438
0,-27.69314,27.147657,-39.65343
0,53.82509,45.758724,179.60085
0,-15.905,-7.7115517,36.960506
0,45.977226,-24.394148,-40.679417
0,21.399979,-5.1832795,56.383675
0,-26.82397,-35.150223,-81.99042
0,-18.32404,47.612118,2.00795
0,26.145054,-43.21179,-8.905998
0,-45.83007,-20.547619,-2.4273574
0,17.440763,-37.419144,32.33856
0,-14.69255,35.59219,-41.718597
0,-5.996207,-35.074444,44.44692
0,-1.7318603,-4.4688153,-67.96172
0,19.438278,-45.627228,-11.370445
0,47.624413,7.9714046,45.673855
0,-21.313604,28.408798,-23.646746
0,-17.478277,12.284069,-2.6658463
0,18.442783,-20.978731,-44.058197
0,26.544975,48.122253,-44.246338
0,33.808777,35.421356,-18.885767
0,-7.5897937,6.632572,-22.173786
0,16.428213,-50.624004,-17.080189
0,8.812347,8.615941,56.690964
0,45.49501,4.731591,-31.734922
0,25.028725,17.479002,-30.874525
0,-50.710114,41.389145,-3.6495762
0,4.0010996,-68.36748,-1.9683493
0,34.974842,0.82118976,38.382275
0,-9.622107,85.49267,16.332365
0,57.21341,1.1652808,14.896612
0,7.150927,51.76821,-30.506098
0,4.8925414,11.381687,64.7586
0,21.114307,17.551569,-13.707346
0,-41.115673,59.911934,-27.460054
0,37.718273,-47.72805,15.081791
0,9.93097,23.41636,-25.058771
