,x,y,z,cluster
0,6.0076714,3.3997383,-25.22589,0
0,-22.671577,-0.60222274,-11.114239,0
0,-5.6196623,-13.433016,1.6824613,0
0,-11.1038885,-6.4476485,19.164762,0
0,-3.1855555,-22.44014,-1.5070345,0
0,-6.896995,-17.413586,11.632836,0
0,-15.891889,0.77160776,-1.2133607,0
0,3.5391018,-2.84623,-2.7275372,0
0,4.327237,-18.426264,17.282629,0
0,-1.7147806,-21.652431,1.0861182,0
0,-15.702883,-18.358438,0.42191884,0
0,-11.445114,10.8560915,8.828337,0
0,-24.566265,-8.842748,-3.8998466,0
0,11.765936,-4.517078,-1.1514801,0
0,-12.466302,-5.838863,3.931984,0
0,5.165855,-10.718236,-9.953278,0
0,-10.611998,-3.2777183,21.218676,0
0,-27.781433,4.545794,-7.8453646,0
0,5.5432353,-2.3334205,-5.2655344,0
0,-16.155457,12.396049,-6.1584682,0
0,-0.22501689,7.3683147,23.131668,0
0,2.5498798,-9.759484,24.64195,0
0,4.089482,-9.11342,25.023785,0
0,16.657095,-20.743341,6.1904907,0
0,4.224189,-12.539867,-12.346092,0
0,-20.22961,3.8508403,6.6379294,0
0,-0.8792467,-12.002025,13.363742,0
0,-15.806196,-12.02568,12.465149,0
0,-9.004844,14.702895,3.9093084,0
0,5.0374136,-18.169764,17.765697,0
0,-0.4498957,-7.5826635,-5.2337136,0
0,-15.815812,-20.130877,11.149166,0
0,2.1372635,-20.46487,18.50542,0
0,-6.2929053,-16.271317,15.403803,0
0,-19.520462,-3.8412435,-8.823813,0
0,-0.9304406,-2.3350775,23.68039,0
0,0.550047,-14.770153,-13.642365,0
0,-9.717115,-19.30964,-6.33341,0
0,-4.7037663,-22.313713,-5.060803,0
0,0.94508725,15.914595,-20.614086,0
0,1.0371135,18.99635,-0.82557684,0
0,-21.540003,12.991545,2.6975148,0
0,16.67409,13.44697,-4.869287,0
0,-13.950235,-23.335365,0.98228097,0
0,1.7158049,-26.037273,11.764577,0
0,1.3226371,-20.97496,15.195601,0
0,-12.628807,-9.175447,17.004559,0
0,-8.4212675,4.3469315,4.206434,0
0,-12.826309,5.4486985,11.554801,0
0,-9.625872,-12.321812,-6.8748584,0
0,-17.364882,1.1345637,6.5498414,0
0,-16.552261,3.027486,-16.67059,0
0,12.1348,-18.845491,11.57465,0
0,5.702263,-2.6258998,-4.8218255,0
0,-0.010756928,14.476934,-21.770142,0
0,0.5346727,-23.777298,10.842956,0
0,-0.43558073,-1.7349983,24.644081,0
